name,type,tree,url
spigot-1.16.4.jar,bukkit,spigot,https://cdn.jsdelivr.net/gh/negoces/jscdn@main/minecraft/spigot/spigot-1.16.4.jar.xz
spigot-1.15.2.jar,bukkit,spigot,https://cdn.jsdelivr.net/gh/negoces/jscdn@main/minecraft/spigot/spigot-1.15.2.jar.xz
spigot-1.14.4.jar,bukkit,spigot,https://cdn.jsdelivr.net/gh/negoces/jscdn@main/minecraft/spigot/spigot-1.14.4.jar.xz
spigot-1.12.2.jar,bukkit,spigot,https://cdn.jsdelivr.net/gh/negoces/jscdn@main/minecraft/spigot/spigot-1.12.2.jar.xz
